Property ,Postcode,City
65 Fulford Road,YO10 4BD,York
33 Fishergate,YO10 4AE,York
"Flat 5, TW1X",TW1 4AD,London
"Flat 4, TW1X",TW1 4AD,London
2 George Street,ST5 6JN,Keele
5 Hill Street,ST5 2DW,Keele
13 Heath Street,ST5 2BU,Keele
"Flat 1, 126 Walter Road",SA1 5RF,Swansea
"Flat 1, 125 Walter Road",SA1 5RF,Swansea
"Flat 1, 124 Walter Road",SA1 5RF,Swansea
42 Hudson Road,PO5 1HD,Portsmouth
27 Hudson Road,PO5 1HB,Portsmouth
60 Cottage Grove,PO5 1EW,Portsmouth
95 St Andrews Road,PO5 1ES,Portsmouth
"Flat 2, 11 Camden Street",PL4 8NW,Plymouth
"Flat 1, 11 Camden Street",PL4 8NW,Plymouth
1 Chedworth Street,PL4 8NT,Plymouth
34 Kenilworth Avenue,OX4 2AN,Oxford
"Flat D, 113 Portland Road",NG7 4HE,Nottingham - Arboretum
"Flat C, 113 Portland Road",NG7 4HE,Nottingham - Arboretum
"Flat B, 113 Portland Road",NG7 4HE,Nottingham - Arboretum
"Flat A, 113 Portland Road",NG7 4HE,Nottingham - Arboretum
36 Portland Road,NG7 4GN,Nottingham - Arboretum
63 Cromwell Street,NG7 4GJ,Nottingham - Arboretum
17b Larkdale Street,NG7 4FZ,Nottingham - Arboretum
17a Larkdale Street,NG7 4FZ,Nottingham - Arboretum
42 Derby Grove,NG7 1PF,Nottingham - Lenton
40 Derby Grove,NG7 1PF,Nottingham - Lenton
36 Derby Grove,NG7 1PF,Nottingham - Lenton
140 Chillingham Road,NE6 5BU,Newcastle - Heaton
153 Hotspur Street,NE6 5BH,Newcastle - Heaton
49 Hotspur Street,NE6 5BE,Newcastle - Heaton
1 Hotspur Street,NE6 5BE,Newcastle - Heaton
113 Stratford Road,NE6 5AS,Newcastle - Heaton
111 Stratford Road,NE6 5AS,Newcastle - Heaton
51 Warwick Street,NE6 5AQ,Newcastle - Heaton
24a Warwick Street,NE6 5AQ,Newcastle - Heaton
24 Warwick Street,NE6 5AQ,Newcastle - Heaton
"Flat C, 188 Heaton Park Road",NE6 5AP,Newcastle - Heaton
"Flat 8, Crossgate Lofts",DH1 4DS,Durham
"Flat 7, Crossgate Lofts",DH1 4DS,Durham
"Flat 6, Crossgate Lofts",DH1 4DS,Durham
"Flat 5, Crossgate Lofts",DH1 4DS,Durham
65 Mackintosh Place,CF24 4RL,Cardiff
45 Mackintosh Place,CF24 4RJ,Cardiff
54 Malefant Street,CF24 4QH,Cardiff
157 Malefant Street,CF24 4QG,Cardiff
155 Malefant Street,CF24 4QG,Cardiff
"Flat 4, 17 Ladybarn Road", M14 6WN,Manchester
"Flat 3, 17 Ladybarn Road", M14 6WN,Manchester
